0 0 0 -nan inf inf -nan -nan 0 0
2.28 1.2511 0.188476 4.12651 2.6432 0.734322 2.08751e-05 -1.24778e-05 0.324102 1.72851
2.29 1.25684 0.189026 4.10978 2.62834 0.723202 2.09946e-05 -1.25491e-05 0.32546 1.73104
2.3 1.26258 0.189576 4.09319 2.61361 0.712194 2.11143e-05 -1.26205e-05 0.326817 1.73355
2.31 1.26832 0.190125 4.07675 2.59901 0.701297 2.12344e-05 -1.26922e-05 0.328174 1.73606
2.32 1.27407 0.190674 4.06044 2.58455 0.69051 2.13547e-05 -1.2764e-05 0.329531 1.73856
2.33 1.27981 0.191221 4.04426 2.57022 0.679831 2.14752e-05 -1.28359e-05 0.330887 1.74106
2.34 1.28556 0.191768 4.02822 2.55601 0.669259 2.15961e-05 -1.2908e-05 0.332242 1.74354
2.35 1.29131 0.192314 4.01231 2.54193 0.658792 2.17172e-05 -1.29803e-05 0.333597 1.74602
2.36 1.29706 0.192859 3.99653 2.52798 0.648429 2.18386e-05 -1.30528e-05 0.334952 1.7485
2.37 1.30282 0.193403 3.98089 2.51415 0.638168 2.19603e-05 -1.31254e-05 0.336306 1.75096
2.38 1.30857 0.193947 3.96536 2.50044 0.628008 2.20823e-05 -1.31982e-05 0.33766 1.75342
2.39 1.31433 0.19449 3.94997 2.48685 0.617948 2.22046e-05 -1.32712e-05 0.339014 1.75587
2.4 1.32009 0.195032 3.9347 2.47338 0.607987 2.23272e-05 -1.33443e-05 0.340367 1.75832
2.41 1.32585 0.195574 3.91955 2.46003 0.598122 2.245e-05 -1.34176e-05 0.341719 1.76076
2.42 1.33161 0.196114 3.90452 2.44679 0.588353 2.25732e-05 -1.34911e-05 0.343072 1.76319
2.43 1.33738 0.196654 3.88961 2.43366 0.578679 2.26967e-05 -1.35648e-05 0.344424 1.76562
2.44 1.34315 0.197193 3.87482 2.42065 0.569098 2.28205e-05 -1.36387e-05 0.345775 1.76803
2.45 1.34891 0.197732 3.86014 2.40775 0.559609 2.29446e-05 -1.37127e-05 0.347126 1.77045
